,name,Status,"Population
Census
1987-05-25","Population
Estimate
1995-12-31","Population
Estimate
2001-12-31","Population
Census
2011-05-09","Population
Estimate
2014-12-31",Change2001-2011
134,Weiden in der Oberpfalz,City with County Rights,42100,43197,43071,41746,41817,-1325
135,Weilheim-Schongau,County,106376,120756,128543,128761,131190,218
136,Weißenburg-Gunzenhausen,County,86381,94046,95176,92371,92518,-2805
137,Wunsiedel im Fichtelgebirge,County,87941,89267,85278,76044,73403,-9234
138,Würzburg,County,138261,154275,159311,158095,159253,-1216
139,Würzburg Stadt,City with County Rights,123378,127295,129915,124297,124219,-5618
140,Berlin,City with County Rights,3260000,3471418,3388434,3292365,3469849,-96069
141,Barnim,County,...,150926,170653,172164,174981,1511
142,Brandenburg an der Havel,City with County Rights,...,86753,77245,71569,71032,-5676
143,Cottbus,City with County Rights,...,126343,111125,99984,99491,-11141
144,Dahme-Spreewald,County,...,144990,159568,160162,161952,594
145,Elbe-Elster,County,...,136889,129066,110189,104997,-18877
146,Frankfurt (Oder),City with County Rights,...,80807,70308,59140,57649,-11168
147,Havelland,County,...,131821,151514,152457,155408,943
148,Märkisch-Oderland,County,...,173434,190471,187374,188422,-3097
149,Oberhavel,County,...,170505,194022,200805,204898,6783
150,Oberspreewald-Lausitz,County,...,156758,141959,117943,112896,-24016
151,Oder-Spree,County,...,190839,195670,178177,177823,-17493
152,Ostprignitz-Ruppin,County,...,116005,111878,100242,98886,-11636
153,Potsdam,City with County Rights,...,144118,141907,156021,164042,14114
154,Potsdam-Mittelmark,County,...,171626,198690,202816,207498,4126
155,Prignitz,County,...,101421,94015,80276,77550,-13739
156,Spree-Neiße,County,...,150364,145929,122524,118030,-23405
157,Teltow-Fläming,County,...,148133,160414,159255,161488,-1159
158,Uckermark,County,...,160310,148606,124682,120829,-23924
159,Bremen,City with County Rights,533455,549357,540950,542707,551767,1757
160,Bremerhaven,City with County Rights,126629,130400,118701,108156,110121,-10545
161,Hamburg,City with County Rights,1592770,1707901,1726363,1706696,1762791,-19667
162,Bergstraße,County,240111,259709,264695,260741,263822,-3954
163,Darmstadt,City with County Rights,134272,138980,138457,143499,151879,5042
164,Darmstadt-Dieburg,County,248983,279066,288463,282601,287966,-5862
165,Frankfurt am Main,City with County Rights,618266,650055,641076,667925,717624,26849
166,Fulda,County,187477,212072,218326,216179,217326,-2147
167,Gießen,County,225967,252365,254331,251238,259834,-3093
168,Groß-Gerau,County,227015,244964,250478,251050,260793,572
169,Hersfeld-Rotenburg,County,125268,133159,130010,120694,119394,-9316
170,Hochtaunuskreis,County,203220,220008,226683,226130,230798,-553
171,Kassel,County,222210,242164,245735,234933,233451,-10802
172,Kassel Stadt,City with County Rights,187288,201573,194748,190765,194747,-3983
173,Lahn-Dill-Kreis,County,237823,262952,263043,253441,251440,-9602
174,Limburg-Weilburg,County,151837,170878,175679,170696,170385,-4983
175,Main-Kinzig-Kreis,County,357548,401349,408144,400862,407619,-7282
176,Main-Taunus-Kreis,County,200030,213435,221730,224059,229976,2329
177,Marburg-Biedenkopf,County,229342,251106,253500,241226,241598,-12274
178,Odenwaldkreis,County,85670,98305,100113,96613,96082,-3500
179,Offenbach,County,301627,328782,336555,332327,341669,-4228
180,Offenbach am Main,City with County Rights,111386,116533,118429,113443,120988,-4986
181,Rheingau-Taunus-Kreis,County,163170,182396,184897,180226,182117,-4671
182,Schwalm-Eder-Kreis,County,176689,192506,193404,181851,179466,-11553
183,Vogelsbergkreis,County,107692,118581,118475,108509,105763,-9966
184,Waldeck-Frankenberg,County,149874,170218,170430,158990,156460,-11440
185,Werra-Meißner-Kreis,County,112396,117715,113293,102124,100206,-11169
186,Wetteraukreis,County,250745,283920,296056,292573,297369,-3483
187,Wiesbaden,City with County Rights,251871,267122,271076,269121,275116,-1955
188,Landkreis Rostock,County,...,217390,229924,212559,211878,-17365
189,Ludwigslust-Parchim,County,...,233786,239288,214372,212631,-24916
190,Mecklenburgische Seenplatte,County,...,318924,305140,267805,261733,-37335
191,Nordwestmecklenburg,County,...,164282,167697,156635,155424,-11062
192,Rostock,City with County Rights,...,227535,198964,200265,204167,1301
193,Schwerin,City with County Rights,...,114688,99978,91293,92138,-8685
194,Vorpommern-Greifswald,County,...,282900,266792,241541,237697,-25251
195,Vorpommern-Rügen,County,...,263579,252094,225512,223470,-26582
