,name,pop,
634,"Jasper, Illinois",9623,
635,"Jefferson, Illinois",38534,
636,"Jersey, Illinois",22571,
637,"Jo Daviess, Illinois",22254,
638,"Johnson, Illinois",12601,
639,"Kane, Illinois",527306,
640,"Kankakee, Illinois",111375,
641,"Kendall, Illinois",121350,
642,"Knox, Illinois",52069,
643,"Lake, Illinois",705186,
644,"LaSalle, Illinois",111241,
645,"Lawrence, Illinois",16519,
646,"Lee, Illinois",34735,
647,"Livingston, Illinois",37903,
648,"Logan, Illinois",29746,
649,"Macon, Illinois",108350,
650,"Macoupin, Illinois",46453,
651,"Madison, Illinois",266560,
652,"Marion, Illinois",38571,
653,"Marshall, Illinois",12014,
654,"Mason, Illinois",13898,
655,"Massac, Illinois",14905,
656,"McDonough, Illinois",31880,
657,"McHenry, Illinois",307283,
658,"McLean, Illinois",174061,
659,"Menard, Illinois",12570,
660,"Mercer, Illinois",15945,
661,"Monroe, Illinois",33722,
662,"Montgomery, Illinois",29359,
663,"Morgan, Illinois",34929,
664,"Moultrie, Illinois",14837,
665,"Ogle, Illinois",52085,
666,"Peoria, Illinois",187319,
667,"Perry, Illinois",21672,
668,"Piatt, Illinois",16431,
669,"Pike, Illinois",16022,
670,"Pope, Illinois",4276,
671,"Pulaski, Illinois",5815,
672,"Putnam, Illinois",5814,
673,"Randolph, Illinois",32869,
674,"Richland, Illinois",16061,
675,"Rock Island, Illinois",146063,
676,"Saline, Illinois",24612,
677,"Sangamon, Illinois",198997,
678,"Schuyler, Illinois",7330,
679,"Scott, Illinois",5204,
680,"Shelby, Illinois",22048,
681,"Stark, Illinois",5813,
682,"St. Clair, Illinois",265729,
683,"Stephenson, Illinois",46435,
684,"Tazewell, Illinois",135707,
685,"Union, Illinois",17447,
686,"Vermilion, Illinois",79728,
687,"Wabash, Illinois",11549,
688,"Warren, Illinois",17874,
689,"Washington, Illinois",14337,
690,"Wayne, Illinois",16543,
691,"White, Illinois",14374,
692,"Whiteside, Illinois",56876,
693,"Will, Illinois",685419,
694,"Williamson, Illinois",67008,
695,"Winnebago, Illinois",288542,
696,"Woodford, Illinois",39187,
697,"Adams, Indiana",34791,
698,"Allen, Indiana",365918,
699,"Bartholomew, Indiana",80217,
700,"Benton, Indiana",8700,
701,"Blackford, Indiana",12401,
702,"Boone, Indiana",61915,
703,"Brown, Indiana",14962,
704,"Carroll, Indiana",19923,
705,"Cass, Indiana",38438,
706,"Clark, Indiana",114262,
707,"Clay, Indiana",26562,
708,"Clinton, Indiana",32776,
709,"Crawford, Indiana",10655,
710,"Daviess, Indiana",32729,
711,"Dearborn, Indiana",49506,
712,"Decatur, Indiana",26524,
713,"DeKalb, Indiana",42383,
714,"Delaware, Indiana",117074,
715,"Dubois, Indiana",42345,
716,"Elkhart, Indiana",201971,
717,"Fayette, Indiana",23468,
718,"Floyd, Indiana",76179,
719,"Fountain, Indiana",16658,
720,"Franklin, Indiana",22934,
721,"Fulton, Indiana",20500,
722,"Gibson, Indiana",33759,
723,"Grant, Indiana",68569,
724,"Greene, Indiana",32726,
725,"Hamilton, Indiana",302623,
726,"Hancock, Indiana",71978,
727,"Harrison, Indiana",39299,
728,"Hendricks, Indiana",156056,
729,"Henry, Indiana",48995,
730,"Howard, Indiana",82982,
731,"Huntington, Indiana",36706,
732,"Jackson, Indiana",43705,
733,"Jasper, Indiana",33475,
734,"Jay, Indiana",21179,
735,"Jefferson, Indiana",32494,
736,"Jennings, Indiana",28000,
737,"Johnson, Indiana",147538,
738,"Knox, Indiana",37938,
739,"Kosciusko, Indiana",78564,
740,"LaGrange, Indiana",38436,
741,"Lake, Indiana",490228,
742,"LaPorte, Indiana",111444,
743,"Lawrence, Indiana",45704,
744,"Madison, Indiana",130069,
745,"Marion, Indiana",934243,
746,"Marshall, Indiana",47107,
747,"Martin, Indiana",10203,
