,lt_x,lt_y,rb_x,rb_y,target_norm
9071,18901430.8584,20349682.701,19194136.1416,20562202.299,9.13280450882e+11
9072,18901430.8584,20349612.701,19194136.1416,20562132.299,9.13280450882e+11
9073,18901390.8584,20349632.701,19194096.1416,20562152.299,9.13280450882e+11
9074,18901420.8584,20349652.701,19194126.1416,20562172.299,9.13280450882e+11
9075,18901400.8584,20349612.701,19194106.1416,20562132.299,9.13280450882e+11
9076,18901440.8584,20349632.701,19194146.1416,20562152.299,9.13280450882e+11
9077,18901390.8584,20349592.701,19194096.1416,20562112.299,9.13280450882e+11
9078,18901440.8584,20349662.701,19194146.1416,20562182.299,9.13280450882e+11
9079,18901350.8584,20349602.701,19194056.1416,20562122.299,9.13280450882e+11
9080,18901390.8584,20349682.701,19194096.1416,20562202.299,9.13280450882e+11
9081,18901390.8584,20349652.701,19194096.1416,20562172.299,9.13280450882e+11
9082,18901440.8584,20349622.701,19194146.1416,20562142.299,9.13280450882e+11
9083,18901380.8584,20349642.701,19194086.1416,20562162.299,9.13280450882e+11
9084,18901400.8584,20349592.701,19194106.1416,20562112.299,9.13280450882e+11
9085,18901390.8584,20349602.701,19194096.1416,20562122.299,9.13280450882e+11
9086,18901390.8584,20349662.701,19194096.1416,20562182.299,9.13280450882e+11
9087,18901410.8584,20349672.701,19194116.1416,20562192.299,9.13280450882e+11
9088,18901430.8584,20349592.701,19194136.1416,20562112.299,9.13280450882e+11
9089,18901370.8584,20349622.701,19194076.1416,20562142.299,9.13280450882e+11
9090,18901420.8584,20349672.701,19194126.1416,20562192.299,9.13280450882e+11
9091,18901440.8584,20349682.701,19194146.1416,20562202.299,9.13280450882e+11
9092,18901390.8584,20349672.701,19194096.1416,20562192.299,9.13280450882e+11
9093,18901400.8584,20349622.701,19194106.1416,20562142.299,9.13280450882e+11
9094,18901400.8584,20349652.701,19194106.1416,20562172.299,9.13280450882e+11
9095,18901380.8584,20349632.701,19194086.1416,20562152.299,9.13280450882e+11
9096,18901420.8584,20349642.701,19194126.1416,20562162.299,9.13280450882e+11
9097,18901410.8584,20349592.701,19194116.1416,20562112.299,9.13280450882e+11
9098,18901420.8584,20349632.701,19194126.1416,20562152.299,9.13280450882e+11
9099,18901430.8584,20349692.701,19194136.1416,20562212.299,9.13280450882e+11
9100,18901430.8584,20349672.701,19194136.1416,20562192.299,9.13280450882e+11
9101,18901440.8584,20349692.701,19194146.1416,20562212.299,9.13280450882e+11
9102,18901380.8584,20349612.701,19194086.1416,20562132.299,9.13280450882e+11
9103,18901400.8584,20349662.701,19194106.1416,20562182.299,9.13280450882e+11
9104,18891135.42,20365502.82,19204451.58,20546262.18,9.09769390001e+11
